# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],d18O (G.ruber w.),d18O (G. crassaf.),d18O (U.peregr.),SST [C] from Mg/Ca,Coarse carb. [%]
2640,329.6,-0.191,,3.723,24.52,6.545
2645,330.3,-0.26,,3.973,23.89,
2650,331,-0.823,,3.772,23.87,9.551
2655,331.667,-0.28,,4.079,23.64,
2660,332.333,-0.847,,4.184,23.81,8.434
2665,333,-0.511,,4.072,24.37,
2670,333.667,-0.712,,4.236,24.34,11.105
2675,334.333,-0.906,,4.016,25.35,
2680,335,-0.354,,3.664,24.87,11.984
2685,335.667,-0.29,,3.465,25.02,
2690,336.067,-0.972,,3.516,26.37,19.023
2695,336.6,-0.606,,3.591,25.65,
2698,337,-0.623,,3.354,25.98,18.983
2702,338.333,-0.457,,3.23,27.32,
2705,339,-1.075,,3.313,25.77,23.027
2710,339.667,-1.123,,3.219,26.31,
2715,340.333,-1.886,,3.229,27.48,19.37
2720,341,-1.37,,3.271,27.3,
2725,341.677,-1.111,,3.21,27.21,19.697
2730,342.354,-1.86,,3.422,27.69,
2735,343.031,-1.395,,3.458,27.46,20.464
2740,343.708,-1.495,,3.372,27.57,
2745,344.385,-1.243,,3.435,26.58,16.077
2750,345.062,-0.637,,3.729,28.57,
2755,345.738,-0.461,,3.724,27.94,12.247
2760,346.415,-0.455,,3.536,27.18,
2765,347.092,-0.404,,3.682,26.48,15.401
2770,347.769,-0.325,,3.73,27,
2775,348.446,-0.505,,3.885,26.79,12.533
2780,349.123,-0.361,,3.706,26.61,
2785,349.8,-0.774,,4.015,25.84,17.509
2790,350.477,-0.398,,3.845,28.77,
2795,351.154,-0.731,,3.704,26.29,17.894
2800,351.831,-0.639,,3.608,26.37,
2805,352.508,-0.416,,3.593,26.65,16.771
2810,353.185,-0.41,,3.783,26.92,
2815,353.862,-0.48,,3.732,28.41,16.652
2820,354.538,-0.638,,3.493,28.66,
2825,355.215,-0.946,,3.79,28.35,16.993
2830,355.892,-0.656,,3.522,27.57,
2835,356.298,-0.632,,3.247,28.22,17.224
2840,356.84,-0.261,,3.378,27.64,
2845,357.246,-0.767,,2.878,28.98,12.797
2848,357.923,-1.029,,3.754,28.3,
2852,358.6,-1.111,,2.854,28.94,13.119
2855,359.277,-0.788,,3.491,28.61,
2860,359.954,-1.067,,3.58,26.92,11.135
2865,360.631,-0.867,,3.641,29.34,
2870,361.308,-1.164,,3.226,26.53,
2875,361.985,-0.397,,3.304,25.92,7.147
2880,362.662,-0.904,,,26.86,8.854
2885,363.338,-0.564,,3.248,26.62,
2890,364.015,-1.236,,3.035,27.87,10.042
2895,364.692,-0.726,,2.942,29.69,
2900,366.046,-0.787,,,28.88,10.438
2905,366.723,-0.927,,3.477,26.9,
2910,367.4,-0.489,,2.848,27.4,11.583
2915,368.077,-0.72,,2.72,26.96,
2920,368.754,-0.725,,2.758,27.64,14.377
2925,369.431,-1.084,,2.653,30.43,
2930,370.108,-1.025,,2.876,28.68,14.323
2935,370.785,-1.172,,2.763,31.24,
2940,371.462,-1.702,,2.573,27.62,13.737
2945,372.138,-1.095,,2.722,30.07,
2950,372.815,-1.186,,2.64,29.32,16.377
2955,373.492,-1.184,,,28.88,
2960,374.169,-1.341,,2.429,28.07,11.757
2965,374.846,-0.896,,,28.5,
2970,375.523,-1.147,,2.917,27.46,12.617
2975,376.2,-1.28,,,26.01,
2980,376.606,-0.467,,3.52,27.25,8.429
2985,377.148,-0.948,,2.89,27.78,
2990,377.554,-0.104,,3.722,26.03,7.997
2995,378.231,-0.892,,2.85,27.56,
2998,378.908,0.078,,3.26,28.81,3.063
3002,379.585,-0.051,,3.242,25.8,
3005,380.262,-0.155,,3.067,29.28,3.368
3010,380.938,-0.578,,3.072,,
3015,381.615,0.163,,3.561,28.74,5.525
3020,382.292,0.084,,3.379,28.66,
3025,382.969,0.259,,3.942,27.73,7.791
3030,383.646,0.529,,4.161,28.14,
3035,384.323,0.133,,4.382,25.75,9.865
3040,385,0.353,,4.2,29.01,
3045,386.333,-0.335,,4.166,25.81,8.269
3050,387.667,0.459,,4.128,28.94,
3055,389,0.559,,4.124,28.05,
3060,390.333,0.169,,4.189,28.35,1.341
3065,391.667,0.37,,4.216,27.9,9.255
3070,393,0.421,,4.27,27.09,
3075,394.333,-0.872,,4.212,28.08,6.561
3080,395.667,0.423,,4.16,26.22,
3085,397,-0.008,,4.18,23.4,7.407
3090,398.333,0.35,,4.199,26.76,
3095,399.667,0.182,,4.106,26.17,6.294
3100,349800,-0.857,,3.998,23.97,
3105,350477,-0.568,,4.178,25.55,5.324
3110,351154,-0.246,,4.03,24.41,
3115,351831,-0.391,,3.978,25.05,9.606
3120,352508,-0.627,,4.1,24.45,
3125,353185,-0.324,,3.957,25.16,9.888
3130,353862,0.038,,4.078,24.27,
3135,354538,-0.219,,3.805,24.1,11.358
3140,355215,-0.501,,3.929,24.47,
3145,355892,-0.454,,3.89,24.64,11.683
3148,356298,-0.41,,3.73,25.47,
3152,356840,-0.961,,3.636,25.6,7.836
3155,357246,-0.565,,3.9,26.13,
3160,357923,-0.605,,3.564,26.2,5.945
3165,358600,-0.814,,3.551,24.6,
3170,359277,-0.423,,3.599,25.33,7.169
3175,359954,-0.382,,3.551,25.47,
3180,360631,-0.47,,3.822,25.58,8.669
3185,361308,-0.909,,3.905,24.77,
3190,361985,-0.842,,3.849,24.79,7.403
3195,362662,-0.937,,3.631,25.04,
3200,363338,-0.58,,3.574,24.54,9.214
3205,364015,-0.93,,3.756,26.22,
3210,364692,-0.136,,3.725,24.92,9.658
3215,365369,-0.208,,3.882,,
3220,366046,0.434,,3.894,25.03,9.573
3225,366723,0.013,,4.125,24.54,
3230,367400,0.479,,4.133,24.8,15.199
3235,368077,0.444,,4.018,25.15,
3240,368754,-0.077,,3.967,25.68,11.483
3245,369431,-0.043,,4.01,25.11,
3250,370108,0.039,,3.935,26.2,12.209
3255,370785,-0.199,,4.043,26.52,
3260,371462,-0.183,,4.083,25.82,12.771
3265,372138,-0.442,,4.068,25.61,
3270,372815,-0.508,,4.074,25.16,13.006
3275,373492,-0.312,,4.04,25.15,
3280,374169,-0.675,,3.755,25.83,15.655
3285,374846,-0.437,,4.012,25.32,
3290,375523,-0.101,,4.018,25,15.461
3295,376200,-0.199,,3.878,24.76,
3298,376606,-0.523,,3.824,26.72,20.766
3302,377148,-0.675,,3.837,25.14,
3305,377554,-0.62,,3.969,26.06,10.594
3310,378231,-0.516,,3.765,24.77,
3315,378908,-0.058,,3.551,25.09,13.968
3320,379585,-0.249,,3.566,24.7,
3325,380262,-0.529,,3.727,25.46,11.83
3330,380938,-0.183,,3.701,25.04,
3335,381615,-0.515,,3.655,25.88,15.965
3340,382292,-0.413,,3.604,25.29,
3345,382969,-0.826,,3.582,25.69,10.282
3350,383646,-0.611,,3.639,26.41,
3355,384323,-0.339,,3.655,25.42,13.586
3360,385000,-0.732,,3.753,26.82,
3365,386333,-0.365,,3.63,25.37,12.026
3370,387667,-0.595,,3.496,27.22,
3375,389000,-0.105,,3.576,26.25,10.103
3380,390333,-0.279,,3.418,26.57,
3385,391667,-0.221,,3.477,27.26,10.594
3390,393000,-0.912,,3.441,25.82,
3395,394333,-0.742,,3.46,26.41,10.67
3400,395667,-0.891,,2.951,25.72,
3405,397000,-0.767,,2.766,26.39,9.882
3410,398333,-0.368,,2.952,25.26,
3415,399667,-0.643,,2.802,25.76,8.479
